sample_id,query,asv_read_index,asv_read_raw,asv_pa,terrestrial,holoplankton
GH001,ASV1486,0,0,0,0,1
GH001,ASV1489,0,0,0,0,1
GH001,ASV1497,0,0,0,0,0
GH001,ASV1500,0,0,0,0,0
GH001,ASV1508,0,0,0,0,0
GH001,ASV1515,0,0,0,0,0
GH001,ASV1516,0,0,0,0,1
GH001,ASV1531,0,0,0,0,1
GH001,ASV1535,0,0,0,0,0
GH001,ASV1538,0,0,0,0,1
GH001,ASV1551,0,0,0,0,1
GH001,ASV1559,0,0,0,0,0
GH001,ASV1560,0,0,0,0,1
GH001,ASV1569,0,0,0,0,0
GH001,ASV1571,0,0,0,0,1
GH001,ASV1573,0,0,0,0,0
GH001,ASV1580,0,0,0,0,0
GH001,ASV1583,0,0,0,0,0
GH001,ASV1587,0,0,0,0,0
GH001,ASV1590,1,438,1,0,1
GH001,ASV1601,0,0,0,0,0
GH001,ASV1607,0,0,0,0,0
GH001,ASV1613,0,0,0,0,1
GH001,ASV1616,0,0,0,0,0
GH001,ASV1621,0,0,0,0,1
GH001,ASV1637,0,0,0,0,1
GH001,ASV1651,0,0,0,0,0
GH001,ASV1664,0,0,0,0,0
GH001,ASV1686,0,0,0,0,0
GH001,ASV1690,0,0,0,0,0
GH001,ASV1692,0,0,0,0,0
GH001,ASV1701,0,0,0,0,1
GH001,ASV1713,0,0,0,0,0
GH001,ASV1714,0,0,0,0,1
GH001,ASV1722,0,0,0,0,1
GH001,ASV1737,0,0,0,0,0
GH001,ASV1744,0,0,0,0,0
GH001,ASV1749,0.5668589732257022,121,1,0,1
GH001,ASV1763,0,0,0,0,0
GH001,ASV1766,0,0,0,0,0
GH001,ASV1769,0,0,0,0,1
GH001,ASV1771,0,0,0,0,0
GH001,ASV1777,0,0,0,0,0
GH001,ASV1788,0,0,0,0,0
GH001,ASV1793,0,0,0,0,0
GH001,ASV1798,0,0,0,0,0
GH001,ASV1802,0,0,0,0,1
GH001,ASV1812,0,0,0,0,0
GH001,ASV1832,0,0,0,0,0
GH001,ASV1841,0,0,0,0,1
GH001,ASV1851,0,0,0,0,1
GH001,ASV1869,0,0,0,0,1
GH001,ASV1871,0,0,0,0,0
GH001,ASV1875,0,0,0,0,0
GH001,ASV1904,0,0,0,0,1
GH001,ASV1914,0,0,0,0,1
GH001,ASV1933,0,0,0,0,1
GH001,ASV1940,0,0,0,0,0
GH001,ASV1948,0,0,0,0,1
GH001,ASV1956,0,0,0,0,0
GH001,ASV1965,0,0,0,0,1
GH001,ASV1982,0,0,0,0,0
GH001,ASV1992,0,0,0,0,0
GH001,ASV1996,0,0,0,0,1
GH001,ASV2003,0,0,0,0,0
GH001,ASV2007,0,0,0,0,0
GH001,ASV2008,0,0,0,0,0
GH001,ASV2018,0,0,0,0,0
GH001,ASV2020,0,0,0,0,0
GH001,ASV2024,0,0,0,0,0
GH001,ASV2026,0,0,0,0,0
GH001,ASV2031,0,0,0,0,0
GH001,ASV2041,0,0,0,0,0
GH001,ASV2052,0,0,0,0,0
GH001,ASV2062,0,0,0,0,0
GH001,ASV2066,0,0,0,0,0
GH001,ASV2080,0,0,0,0,1
GH001,ASV2083,0,0,0,0,0
GH001,ASV2089,0,0,0,0,1
GH001,ASV2113,0,0,0,0,0
GH001,ASV2120,0,0,0,0,1
GH001,ASV2123,0,0,0,0,1
GH001,ASV2174,0,0,0,0,1
GH001,ASV2207,0,0,0,0,0
GH001,ASV2209,0,0,0,0,0
GH001,ASV2224,1,204,1,0,0
GH001,ASV2238,0,0,0,0,0
GH001,ASV2243,0,0,0,0,1
GH001,ASV2245,0,0,0,0,0
GH001,ASV2246,0,0,0,0,0
GH001,ASV2277,1,110,1,0,0
GH001,ASV2279,0,0,0,0,1
GH001,ASV2306,0,0,0,0,0
GH001,ASV2310,0,0,0,0,0
GH001,ASV2334,0.1833052836350136,21,1,0,0
GH001,ASV2337,0,0,0,0,0
GH001,ASV2343,0,0,0,0,0
GH001,ASV2356,0,0,0,0,0
GH001,ASV2381,0,0,0,0,1
GH001,ASV2393,0,0,0,0,0
GH001,ASV2403,0,0,0,0,0
GH001,ASV2406,0,0,0,0,1
GH001,ASV2408,0,0,0,0,1
GH001,ASV2414,0,0,0,0,0
GH001,ASV2419,1,167,1,0,0
GH001,ASV2430,0,0,0,0,0
GH001,ASV2441,0,0,0,0,0
GH001,ASV2469,0,0,0,0,0
GH001,ASV2492,0,0,0,0,0
GH001,ASV2512,0,0,0,0,1
GH001,ASV2526,0,0,0,0,1
GH001,ASV2556,0,0,0,0,0
GH001,ASV2562,0,0,0,0,0
GH001,ASV2575,0,0,0,0,1
GH001,ASV2596,0,0,0,0,0
GH001,ASV2642,0,0,0,0,0
GH001,ASV2661,0,0,0,0,0
GH001,ASV2662,0,0,0,0,0
GH001,ASV2688,0,0,0,0,0
GH001,ASV2705,0,0,0,0,0
GH001,ASV2779,0,0,0,0,0
GH001,ASV2843,0,0,0,0,0
GH001,ASV2858,0,0,0,0,1
GH001,ASV2875,0,0,0,0,0
GH001,ASV2884,0,0,0,0,0
GH001,ASV2901,0.2801004674844487,11,1,0,0
GH001,ASV2903,0,0,0,0,1
GH001,ASV2905,0,0,0,0,0
GH001,ASV2941,0,0,0,0,0
GH001,ASV2944,0,0,0,0,1
GH001,ASV2998,0,0,0,0,1
GH001,ASV3015,0,0,0,0,0
GH001,ASV3059,0,0,0,0,0
GH001,ASV3070,0,0,0,0,0
GH001,ASV3092,0,0,0,0,0
GH001,ASV3146,0,0,0,0,0
GH001,ASV3169,0,0,0,0,0
GH001,ASV3172,0,0,0,0,0
GH001,ASV3173,0,0,0,0,0
GH001,ASV3180,0,0,0,0,0
GH001,ASV3203,0,0,0,0,0
GH001,ASV3214,0,0,0,0,0
GH001,ASV3264,0,0,0,0,0
GH001,ASV3269,0,0,0,0,0
GH001,ASV3272,0,0,0,0,0
GH001,ASV3282,0,0,0,0,0
GH001,ASV3284,0,0,0,0,0
GH001,ASV3286,0,0,0,0,0
GH001,ASV3301,0,0,0,0,1
GH001,ASV3304,0,0,0,0,0
GH001,ASV3313,0,0,0,0,0
GH001,ASV3317,0,0,0,0,0
GH001,ASV3318,0,0,0,0,0
GH001,ASV3361,0,0,0,0,0
GH001,ASV3393,0,0,0,0,0
GH001,ASV3454,0,0,0,0,1
GH001,ASV3458,0,0,0,0,1
GH001,ASV3533,0,0,0,0,0
GH001,ASV3560,0,0,0,0,0
GH001,ASV3618,0,0,0,0,0
GH001,ASV3622,0,0,0,0,0
GH001,ASV3626,0,0,0,0,0
GH001,ASV3645,0,0,0,0,0
GH001,ASV3662,0,0,0,0,0
GH001,ASV3683,0,0,0,0,0
