sample_id,query,asv_read_index,asv_read_raw,asv_pa,kingdom,metazoa_terrestrial
GH001,ASV195,0,0,0,Metazoa,0
GH001,ASV196,0,0,0,Metazoa,0
GH001,ASV197,0,0,0,Metazoa,0
GH001,ASV198,0,0,0,Metazoa,0
GH001,ASV199,0,0,0,Metazoa,0
GH001,ASV200,0,0,0,Metazoa,0
GH001,ASV201,0,0,0,Metazoa,0
GH001,ASV202,0,0,0,Metazoa,0
GH001,ASV203,0,0,0,NA,0
GH001,ASV204,0,0,0,Metazoa,0
GH001,ASV205,0,0,0,Metazoa,0
GH001,ASV206,0,0,0,Metazoa,0
GH001,ASV207,0,0,0,Metazoa,0
GH001,ASV208,0,0,0,Metazoa,0
GH001,ASV209,0,0,0,Metazoa,0
GH001,ASV210,0,0,0,Metazoa,0
GH001,ASV211,0,0,0,Metazoa,1
GH001,ASV212,0,0,0,Metazoa,0
GH001,ASV213,0,0,0,Metazoa,0
GH001,ASV214,0,0,0,Metazoa,0
GH001,ASV215,0,0,0,Metazoa,0
GH001,ASV216,0,0,0,Metazoa,0
GH001,ASV217,0,0,0,Metazoa,0
GH001,ASV218,0,0,0,Metazoa,0
GH001,ASV219,0,0,0,Metazoa,0
GH001,ASV220,0,0,0,Metazoa,0
GH001,ASV221,0,0,0,Metazoa,0
GH001,ASV222,0,0,0,Metazoa,0
GH001,ASV223,0,0,0,Metazoa,0
GH001,ASV224,0,0,0,Metazoa,0
GH001,ASV225,0,0,0,Metazoa,0
GH001,ASV226,0,0,0,Metazoa,0
GH001,ASV227,0,0,0,Metazoa,0
GH001,ASV228,0,0,0,Metazoa,0
GH001,ASV229,0,0,0,Metazoa,0
GH001,ASV230,0,0,0,Metazoa,0
GH001,ASV231,0,0,0,Metazoa,0
GH001,ASV232,0,0,0,Metazoa,1
GH001,ASV233,0,0,0,NA,0
GH001,ASV234,0,0,0,Metazoa,1
GH001,ASV235,0,0,0,Metazoa,0
GH001,ASV236,0,0,0,Metazoa,0
GH001,ASV237,0,0,0,Metazoa,1
GH001,ASV238,0,0,0,Metazoa,0
GH001,ASV239,0,0,0,Metazoa,0
GH001,ASV240,0,0,0,Metazoa,0
GH001,ASV241,0,0,0,Metazoa,0
GH001,ASV242,0,0,0,Metazoa,0
GH001,ASV243,0,0,0,Metazoa,0
GH001,ASV244,0,0,0,Metazoa,0
GH001,ASV245,0,0,0,Metazoa,0
GH001,ASV246,0,0,0,Metazoa,0
GH001,ASV247,0,0,0,Metazoa,0
GH001,ASV248,0,0,0,Metazoa,0
GH001,ASV249,0,0,0,Metazoa,0
GH001,ASV250,0,0,0,Metazoa,0
GH001,ASV251,0,0,0,Metazoa,0
GH001,ASV252,0,0,0,Metazoa,0
GH001,ASV253,0,0,0,Metazoa,0
GH001,ASV254,0,0,0,Metazoa,0
GH001,ASV255,0,0,0,NA,0
GH001,ASV256,0,0,0,Metazoa,0
GH001,ASV257,0,0,0,Metazoa,0
GH001,ASV258,0,0,0,Metazoa,0
GH001,ASV259,0,0,0,Metazoa,0
GH001,ASV260,0,0,0,Metazoa,0
GH001,ASV261,0,0,0,Metazoa,0
GH001,ASV262,0,0,0,Metazoa,0
GH001,ASV263,0,0,0,Metazoa,0
GH001,ASV264,0,0,0,Metazoa,0
GH001,ASV265,0,0,0,Metazoa,0
GH001,ASV266,0,0,0,Metazoa,0
GH001,ASV267,0,0,0,Metazoa,0
GH001,ASV268,0,0,0,Metazoa,0
GH001,ASV269,0,0,0,Metazoa,0
GH001,ASV270,0,0,0,Metazoa,0
GH001,ASV271,0,0,0,Metazoa,0
GH001,ASV272,0,0,0,Metazoa,0
GH001,ASV273,0,0,0,Metazoa,1
GH001,ASV274,0,0,0,Metazoa,0
GH001,ASV275,0,0,0,Metazoa,0
GH001,ASV276,0,0,0,Metazoa,0
GH001,ASV277,0,0,0,Metazoa,0
GH001,ASV278,0,0,0,Metazoa,0
GH001,ASV279,0,0,0,Metazoa,0
GH001,ASV280,0,0,0,Metazoa,0
GH001,ASV281,0,0,0,Metazoa,0
GH001,ASV282,0,0,0,Metazoa,0
GH001,ASV283,0,0,0,Metazoa,0
GH001,ASV284,0,0,0,Metazoa,0
GH001,ASV285,0,0,0,Metazoa,0
GH001,ASV286,0,0,0,Chromista,0
GH001,ASV287,0,0,0,Metazoa,0
GH001,ASV288,0,0,0,Metazoa,0
GH001,ASV289,0,0,0,NA,0
GH001,ASV290,0,0,0,Metazoa,0
GH001,ASV291,0,0,0,Metazoa,0
GH001,ASV292,0,0,0,Metazoa,0
GH001,ASV293,0,0,0,Metazoa,0
GH001,ASV294,0,0,0,Metazoa,0
GH001,ASV295,0,0,0,Metazoa,0
GH001,ASV296,0,0,0,Metazoa,0
GH001,ASV297,0,0,0,Metazoa,0
GH001,ASV298,0,0,0,Metazoa,0
GH001,ASV299,0,0,0,Metazoa,0
GH001,ASV300,0,0,0,Metazoa,0
GH001,ASV301,0,0,0,Metazoa,0
GH001,ASV302,0,0,0,Metazoa,0
GH001,ASV303,0,0,0,Metazoa,0
GH001,ASV304,0,0,0,Metazoa,0
GH001,ASV305,0,0,0,Metazoa,0
GH001,ASV306,0,0,0,Metazoa,0
GH001,ASV307,0,0,0,Metazoa,0
GH001,ASV308,0,0,0,Metazoa,0
GH001,ASV309,0,0,0,Metazoa,0
GH001,ASV310,0,0,0,Metazoa,0
GH001,ASV311,0,0,0,Metazoa,0
GH001,ASV312,0,0,0,Metazoa,0
GH001,ASV313,0,0,0,Metazoa,0
GH001,ASV314,0,0,0,Metazoa,0
GH001,ASV315,0,0,0,Metazoa,0
GH001,ASV316,0,0,0,Metazoa,0
GH001,ASV317,0,0,0,Metazoa,0
GH001,ASV318,0,0,0,Metazoa,0
GH001,ASV319,0,0,0,Metazoa,1
GH001,ASV320,0,0,0,Metazoa,0
GH001,ASV321,0,0,0,Metazoa,0
GH001,ASV322,0,0,0,Metazoa,0
GH001,ASV323,0,0,0,Metazoa,0
GH001,ASV324,0,0,0,Metazoa,0
GH001,ASV325,0,0,0,Metazoa,0
GH001,ASV326,0,0,0,Metazoa,0
GH001,ASV327,0,0,0,Metazoa,0
GH001,ASV328,0,0,0,Metazoa,0
GH001,ASV329,0,0,0,Metazoa,0
GH001,ASV330,0,0,0,Metazoa,0
GH001,ASV331,0,0,0,Metazoa,0
GH001,ASV332,0,0,0,Metazoa,0
GH001,ASV333,0,0,0,Metazoa,1
GH001,ASV334,0,0,0,Metazoa,0
GH001,ASV335,0,0,0,Metazoa,1
GH001,ASV336,0,0,0,Metazoa,0
GH001,ASV337,0,0,0,Metazoa,0
GH001,ASV338,0,0,0,Metazoa,0
GH001,ASV339,0,0,0,Metazoa,0
GH001,ASV340,0,0,0,Metazoa,0
GH001,ASV341,0,0,0,Metazoa,0
GH001,ASV342,0,0,0,Metazoa,0
GH001,ASV343,0,0,0,Metazoa,0
GH001,ASV344,0,0,0,Metazoa,0
GH001,ASV345,0,0,0,Metazoa,0
GH001,ASV346,0,0,0,Metazoa,0
GH001,ASV347,0,0,0,Metazoa,0
GH001,ASV348,0,0,0,Metazoa,0
GH001,ASV349,0,0,0,Metazoa,0
GH001,ASV350,0,0,0,Metazoa,0
GH001,ASV351,0,0,0,Metazoa,0
GH001,ASV352,0,0,0,Metazoa,0
GH001,ASV353,0,0,0,Metazoa,0
GH001,ASV354,0,0,0,Metazoa,0
GH001,ASV355,0,0,0,Metazoa,0
GH001,ASV356,0,0,0,Metazoa,0
GH001,ASV357,0,0,0,Metazoa,0
GH001,ASV358,0,0,0,Metazoa,0
GH001,ASV359,0,0,0,Metazoa,0
GH001,ASV360,0,0,0,Metazoa,0
GH001,ASV361,0,0,0,Metazoa,0
GH001,ASV362,0,0,0,Metazoa,0
GH001,ASV363,0,0,0,NA,0
GH001,ASV364,0,0,0,NA,0
GH001,ASV365,0,0,0,Metazoa,0
GH001,ASV366,0,0,0,Metazoa,0
GH001,ASV367,0,0,0,NA,0
GH001,ASV368,0,0,0,Metazoa,0
GH001,ASV369,0,0,0,Metazoa,0
GH001,ASV370,0,0,0,Metazoa,0
GH001,ASV371,0,0,0,Metazoa,0
GH001,ASV372,0,0,0,Metazoa,0
GH001,ASV373,0,0,0,NA,0
GH001,ASV374,0,0,0,Metazoa,0
GH001,ASV375,0,0,0,Metazoa,0
GH001,ASV376,0,0,0,Metazoa,0
GH001,ASV377,0,0,0,Metazoa,0
GH001,ASV378,0,0,0,Metazoa,0
